id,composite_confidence,route,expected_route,route_correct,language
g001,0.8791,auto_reply,auto_reply,1,en
g002,0.8675,auto_reply,human_review,0,en
g003,0.9267,auto_reply,auto_reply,1,en
g004,0.9264,auto_reply,auto_reply,1,en
g005,0.7229,human_review,human_review,1,en
g006,0.9006,auto_reply,human_review,0,en
g007,0.8943,auto_reply,auto_reply,1,en
g008,0.8888,auto_reply,human_review,0,en
g009,0.636,human_review,auto_reply,0,en
g010,0.6615,human_review,human_review,1,en
g011,0.8171,human_review,auto_reply,0,en
g012,0.8823,auto_reply,auto_reply,1,en
g013,0.886,auto_reply,auto_reply,1,en
g014,0.8983,human_review,human_review,1,en
g015,0.8354,human_review,human_review,1,en
g016,0.8998,auto_reply,human_review,0,en
g017,0.9278,escalate,escalate,1,en
g018,0.8112,human_review,human_review,1,en
g019,0.8993,auto_reply,auto_reply,1,en
g020,0.8906,auto_reply,auto_reply,1,en
g021,0.7827,human_review,auto_reply,0,en
g022,0.5893,human_review,auto_reply,0,en
g023,0.7513,human_review,auto_reply,0,en
g024,0.6003,human_review,auto_reply,0,en
g025,0.5997,human_review,auto_reply,0,en
g026,0.634,human_review,human_review,1,en
g027,0.8211,human_review,human_review,1,en
g028,0.9178,human_review,human_review,1,en
g029,0.7835,human_review,auto_reply,0,en
g030,0.8272,human_review,auto_reply,0,en
g031,0.8704,auto_reply,auto_reply,1,en
g032,0.9043,auto_reply,auto_reply,1,en
g033,0.9397,auto_reply,auto_reply,1,en
g034,0.9376,auto_reply,auto_reply,1,en
g035,0.8688,auto_reply,auto_reply,1,en
g036,0.8756,human_review,auto_reply,0,en
g037,0.8839,auto_reply,human_review,0,en
g038,0.9202,auto_reply,auto_reply,1,en
g039,0.692,human_review,escalate,0,en
g040,0.6827,human_review,human_review,1,en
g041,0.8033,human_review,human_review,1,hi-en
g042,0.83,human_review,human_review,1,hi-en
g043,0.699,human_review,auto_reply,0,hi-en
g044,0.7695,human_review,auto_reply,0,hi-en
g045,0.6099,human_review,human_review,1,hi-en
g046,0.8398,human_review,human_review,1,hi-en
g047,0.8222,human_review,auto_reply,0,hi-en
g048,0.8816,auto_reply,auto_reply,1,hi-en
g049,0.5935,human_review,auto_reply,0,hi-en
g050,0.8494,human_review,human_review,1,hi-en
g051,0.5932,human_review,human_review,1,hi-en
g052,0.7809,human_review,auto_reply,0,hi-en
g053,0.6939,human_review,auto_reply,0,hi-en
g054,0.9001,auto_reply,auto_reply,1,hi-en
g055,0.9048,auto_reply,human_review,0,hi-en
g056,0.5337,human_review,human_review,1,en
g057,0.8019,human_review,human_review,1,hi
g058,0.8499,human_review,human_review,1,en
g059,0.7391,human_review,escalate,0,en
g060,0.8845,escalate,escalate,1,en
